machine_id,anomaly_score,health_score,trend_score,maintenance_priority,maintenance_strategy,predicted_risk,primary_pattern,recommended_action,spare_parts,technician_type,technician_count,tech_cost_tier,tech_labor_savings,estimated_duration_hours,recommended_downtime_window,downtime_start,scheduled_day,production_impact,estimated_cost,acceptance_standard,sla_target_hours,trigger_threshold,execution_status,reasoning,maintenance_suggestion,priority,alert_level,action_type,cost_at_risk,urgency_score,recommended_window_days,expected_savings
CNC_067,0.8525,27.1000,0.4962,P1,quality_first,ALARM,combined_degradation,immediate_shutdown,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,3,standard,0.0000,15.0000,immediate,2026-06-16 19:15:05,0,4659.3800,5996.1200,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,质量优先策略：大修（15.0h）— 立即处理以防止质量退化,"[高风险等级 | DowntimeWindow.IMMEDIATE窗口] 立即停机：预计15.0h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$5,996，日产值风险=$7,455。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",1,ALARM,immediate_shutdown,6560.4000,100.0000,2,4592.2800
CNC_012,0.8231,28.8000,0.2630,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.3000,immediate,2026-06-16 19:15:05,0,752.6700,2791.2100,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.3h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,791，日产值风险=$7,854。故障模式：热累积。验收标准：参照热累积类验收规则执行。",2,ALARM,schedule_inspection,6597.3600,100.0000,1,4618.1500
CNC_025,0.8125,17.5000,0.5270,P1,quality_first,ALARM,normal,preventive_repair,"[""o-ring_set""]",senior_technician,1,standard,0.0000,8.0000,immediate,2026-06-16 19:15:05,0,2470.0000,2573.1600,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,质量优先策略：大修（8.0h）— 立即处理以防止质量退化,"[高风险等级 | DowntimeWindow.IMMEDIATE窗口] 预防维修：预计8.0h，备件=[o-ring_set]，估算成本=$2,573，日产值风险=$7,410。故障模式：正常。验收标准：参照正常类验收规则执行。",3,ALARM,preventive_repair,6817.2000,100.0000,2,4772.0400
CNC_089,0.8049,22.2000,0.3686,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,2.6000,immediate,2026-06-16 19:15:05,0,737.7500,5101.5600,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$5,102，日产值风险=$6,810。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",4,ALARM,schedule_inspection,6265.2000,100.0000,1,4385.6400
CNC_019,0.7959,33.3000,1.1480,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,2.5000,night,2026-06-17 19:15:05,1,771.8800,4904.9800,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[中风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,905，日产值风险=$7,410。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",5,ALARM,schedule_inspection,5631.6000,100.0000,1,3942.1200
CNC_063,0.7647,35.8000,1.1668,P1,quality_first,ALARM,combined_degradation,preventive_repair,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,6.2000,night,2026-06-17 19:15:05,1,1278.2300,4881.0200,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,质量优先策略：大修（6.2h）— 立即处理以防止质量退化,"[低风险等级 | DowntimeWindow.IMMEDIATE窗口] 预防维修：预计6.2h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,881，日产值风险=$4,948。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",6,ALARM,preventive_repair,4750.0800,85.0000,1,3325.0600
CNC_043,0.7629,33.1000,0.4959,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,2.8000,night,2026-06-17 19:15:05,1,645.4000,4695.4500,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（85/100）且维修工时短（2.8h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.8h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,695，日产值风险=$5,532。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",7,ALARM,schedule_inspection,4868.1600,85.0000,1,3407.7100
CNC_081,0.7581,33.9000,1.2229,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.9000,night,2026-06-17 19:15:05,1,812.4800,2393.0700,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.9h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.9h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,393，日产值风险=$6,724。故障模式：热累积。验收标准：参照热累积类验收规则执行。",8,ALARM,schedule_inspection,5110.2400,100.0000,1,3577.1700
CNC_093,0.7457,29.1000,0.7200,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,3.1000,night,2026-06-17 19:15:05,1,750.4600,4858.0600,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（3.1h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计3.1h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,858，日产值风险=$5,810。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",9,ALARM,schedule_inspection,5345.2000,100.0000,1,3741.6400
CNC_096,0.7451,34.5000,0.5114,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.6000,night,2026-06-17 19:15:05,1,701.6700,2390.4800,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,390，日产值风险=$6,477。故障模式：热累积。验收标准：参照热累积类验收规则执行。",10,ALARM,schedule_inspection,5181.6000,100.0000,1,3627.1200
CNC_087,0.7396,39.4000,0.2437,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.6000,immediate,2026-06-16 19:15:05,0,841.9700,2415.3400,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,415，日产值风险=$7,772。故障模式：正常。验收标准：参照正常类验收规则执行。",11,ALARM,schedule_inspection,7461.1200,100.0000,1,5222.7800
CNC_056,0.7319,32.0000,0.0856,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",senior_technician,2,standard,0.0000,2.4000,night,2026-06-17 19:15:05,1,539.8000,4634.0700,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（85/100）且维修工时短（2.4h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.4h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,634，日产值风险=$5,398。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",12,ALARM,schedule_inspection,4750.2400,85.0000,1,3325.1700
CNC_009,0.7178,34.0000,0.3658,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.3000,night,2026-06-17 19:15:05,1,544.7200,2380.7800,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.3h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,381，日产值风险=$5,684。故障模式：热累积。验收标准：参照热累积类验收规则执行。",13,ALARM,schedule_inspection,5229.2800,100.0000,1,3660.5000
